88666:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         36856       46894568  [B (java.base@25)
   2:         26695         640680  java.lang.String (java.base@25)
   3:          3530         454312  java.lang.Class (java.base@25)
   4:          2549         323416  [Ljava.lang.Object; (java.base@25)
   5:          2495         199336  [J (java.base@25)
   6:          4233         135456  java.util.HashMap$Node (java.base@25)
   7:          4181         133792  java.util.concurrent.ConcurrentHashMap$Node (java.base@25)
   8:          2467          78944  jdk.internal.jimage.ImageReader$Resource (java.base@25)
   9:          1501          70608  [I (java.base@25)
  10:          2467          59208  jdk.internal.jimage.ImageLocation (java.base@25)
  11:           358          51872  [Ljava.util.HashMap$Node; (java.base@25)
  12:            10          49936  [C (java.base@25)
  13:           980          47040  java.lang.invoke.MemberName (java.base@25)
  14:          1283          41056  jdk.internal.util.WeakReferenceKey (java.base@25)
  15:           967          38680  java.lang.invoke.MethodType (java.base@25)
  16:            44          32448  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25)
  17:          1623          25968  java.lang.Object (java.base@25)
  18:           910          25744  [Ljava.lang.Class; (java.base@25)
  19:           298          22648  [Ljava.lang.ref.SoftReference; (java.base@25)
  20:           770          18480  java.lang.invoke.ResolvedMethodName (java.base@25)
  21:           741          17784  java.lang.module.ModuleDescriptor$Exports (java.base@25)
  22:           359          17232  java.util.HashMap (java.base@25)
Total        107271       49810064
